#{"t_start": 1783272268.9957569, "env_id": "None"}
r,l,t
-1.04,147,1.399849
7.52,253,1.582568
-3.44,107,1.675427
-9.68,33,1.70272
-9.68,33,1.728347
-3.39,112,1.81067
2.79,180,1.93754
-5.81,70,1.988211
-9.68,33,2.019036
-7.31,70,2.535727
-9.68,33,2.56768
-1.08,143,2.674568
-5.81,70,2.727341
-9.68,33,2.753173
-9.68,33,2.780139
-7.29,72,2.830506
-9.62,39,2.864105
-3.44,107,2.945968
-5.81,70,2.998526
-5.81,70,3.043183
-9.68,33,3.068005
-9.68,33,3.094982
-3.44,107,3.166149
-5.81,70,3.213508
-7.31,70,3.259902
-9.68,33,3.740142
-5.8,71,3.793158
-9.68,33,3.826565
-5.81,70,3.880934
-9.68,33,3.911577
-5.81,70,3.960481
-3.44,107,4.029402
3.66,217,4.170067
-4.97,104,4.246593
-1.08,143,4.350366
-9.68,33,4.37901
-3.44,107,4.452338
-3.44,107,4.972636
9.89,290,5.163614
-5.78,73,5.21134
-5.81,70,5.26269
-5.81,70,5.316423
-3.44,107,5.391676
-9.65,36,5.421462
-1.08,143,5.519752
-3.44,107,5.593194
-3.44,107,6.108511
-5.81,70,6.162946
-9.68,33,6.193634
-5.81,70,6.24956
-3.44,107,6.318698
-3.44,107,6.391331
-5.81,70,6.44279
-9.68,33,6.470016
-5.76,75,6.526367
-9.68,33,6.552956
2.79,180,6.677079
-5.81,70,6.750822
-5.81,70,6.809261
-5.78,73,7.305454
-9.63,38,7.341613
13.76,327,7.553191
-1.08,143,7.648814
-9.68,33,7.6754
-5.8,71,7.724259
-5.81,70,7.774277
-9.68,33,7.804327
0.49,150,7.909911
2.79,180,8.479345
-3.44,107,8.557552
8.43,294,8.742328
-5.81,70,8.798068
-9.68,33,8.825875
-3.44,107,8.899057
-3.44,107,8.971855
-9.68,33,9.002455
-9.68,33,9.036211
1.29,180,9.159189
-1.08,143,9.701913
41.92,693,10.138895
13.76,327,10.805977
-3.44,107,10.884146
-5.75,76,10.937924
-3.44,107,11.002874
-1.08,143,11.097283
-7.31,70,11.147662
-5.81,70,11.200251
11.4,291,11.402079
7.53,254,12.059288
78.93,1244,13.407264
44.29,730,14.4042
13.82,333,14.655912
7.55,256,14.838104
13.78,329,15.553463
30.98,549,17.34366
18.49,400,19.02225
41.92,693,24.244668
20.86,437,29.194286
30.96,547,32.950629
0.47,148,34.089332
24.78,479,37.406281
2.85,186,37.542547
34.89,590,37.971409
7.52,253,38.630946
5.22,223,38.76516
11.45,296,38.960453
97.4,1391,40.702403
93.58,1359,41.976775
16.12,363,42.188849
59.12,913,43.206706
37.19,620,44.012098
74.83,1134,45.140431
102.16,1467,46.460744
230.5,3000,49.591291
43.49,700,50.461966
26.28,479,50.752311
65.37,988,51.834537
31.0,551,52.615659
229.0,3000,55.843974
230.5,3000,58.92588
220.27,2978,61.991596
220.16,2967,65.057493
149.05,2056,67.16563
162.35,2236,69.38426
217.08,2959,72.488034
30.99,550,72.831117
33.34,585,73.719632
5.19,220,73.851857
220.18,2969,76.934651
91.17,1318,78.175061
142.82,1983,80.23382
220.21,2972,83.351702
220.13,2964,86.417284
220.3,2981,89.489409
230.5,3000,92.517946
220.1,2961,95.615913
229.0,3000,103.258612
110.78,1579,109.673589
30.96,547,114.812406
52.89,840,117.979731
230.5,3000,137.814222
50.58,809,141.973855
94.39,1390,152.151261
113.09,1610,159.804041
230.5,3000,162.882165
227.5,3000,166.115974
227.5,3000,169.244942
55.26,877,170.245974
14.62,363,170.465665
227.5,3000,173.637694
-5.81,70,173.692962
180.45,2496,176.701414
229.0,3000,179.435849
229.0,3000,182.628384
229.0,3000,185.709573
133.59,1910,187.730851
217.31,2982,190.797137
226.0,3000,193.91402
230.5,3000,197.17126
37.19,620,198.058131
62.99,950,198.647952
210.06,2857,201.790265
2.79,180,201.903299
-1.08,143,202.420916
230.5,3000,205.472829
67.72,1023,206.492914
224.5,3000,209.092288
61.55,956,210.137697
229.0,3000,213.230528
230.5,3000,216.325976
230.5,3000,219.404354
220.41,2992,222.525888
230.5,3000,225.6329
